Region,County,Gender,Age,Grade,Disability,Residence,SchoolType
Eastern,Narok,Male,6,One,Visual,Urban,Integrated
Coast,Bomet,Male,9,Three,Hearing,Urban,Integrated
Nairobi,Baringo,Male,9,Three,Hearing,Urban,Special
Eastern,Garissa,Female,7,Three,Physical,Urban,Integrated
Eastern,Lamu,Female,7,One,Hearing,Rural,Integrated
Western,Meru,Female,8,One,Physical,Urban,Integrated
Rift Valley,Nairobi,Male,6,Three,Hearing,Rural,Regular
Coast,Nandi,Female,7,Three,Physical,Urban,Regular
Rift Valley,Taita Taveta,Male,10,Three,Hearing,Rural,Regular
Rift Valley,Embu,Female,6,Two,Hearing,Rural,Regular
Rift Valley,Nakuru,Male,7,Two,Visual,Urban,Integrated
Rift Valley,West Pokot,Male,5,Pre-School,Visual,Urban,Integrated
Nyanza,Nakuru,Male,5,Pre-School,Visual,Urban,Regular
Coast,Siaya,Male,9,One,Hearing,Urban,Integrated
Nairobi,Kisumu,Male,8,Three,Physical,Urban,Special
North Eastern,Nakuru,Male,9,One,Visual,Urban,Regular
Coast,Busia,Male,10,One,Hearing,Urban,Integrated
Central,Bomet,Male,9,Three,Visual,Rural,Regular
Eastern,Embu,Male,10,Two,Physical,Urban,Special
Nairobi,Bungoma,Male,10,Three,Visual,Urban,Integrated
Central,Mandera,Female,8,One,Physical,Urban,Integrated
Eastern,Nyandarua,Male,6,Three,Physical,Urban,Integrated
North Eastern,Machakos,Male,8,Three,Visual,Rural,Integrated
North Eastern,Kisumu,Male,6,Three,Hearing,Urban,Regular
Rift Valley,Narok,Male,6,Two,Visual,Urban,Regular
Coast,Baringo,Female,6,One,Physical,Urban,Integrated
Rift Valley,Migori,Male,6,Three,Physical,Urban,Regular
Rift Valley,Kisii,Female,9,One,Visual,Rural,Regular
North Eastern,Kisumu,Female,9,Two,Hearing,Urban,Integrated
Nairobi,Mandera,Female,7,One,Hearing,Urban,Integrated
North Eastern,Nyandarua,Female,9,Two,Hearing,Urban,Regular
North Eastern,Kajiado,Male,8,One,Physical,Rural,Regular
Nyanza,Lamu,Female,6,Three,Physical,Urban,Integrated
Central,Elgeyo Marakwet,Male,8,One,Hearing,Urban,Integrated
Nyanza,Meru,Male,10,Two,Visual,Rural,Special
Nyanza,Bomet,Female,10,One,Hearing,Urban,Regular
Nyanza,Nairobi,Female,7,Two,Physical,Urban,Integrated
Rift Valley,Kitui,Female,7,One,Visual,Urban,Regular
Central,Siaya,Male,6,Three,Autism,Urban,Regular
Eastern,Migori,Male,8,One,Hearing,Urban,Regular
Nairobi,Nandi,Female,10,One,Physical,Urban,Regular
North Eastern,Nyandarua,Female,9,Three,Visual,Urban,Special
Rift Valley,Nakuru,Male,7,One,Visual,Rural,Integrated
Eastern,Nairobi,Female,8,Two,Visual,Urban,Special
Central,Kisumu,Male,5,Pre-School,Hearing,Rural,Special
Nairobi,Murang'a,Female,10,One,Hearing,Urban,Integrated
North Eastern,Tharaka Nithi,Male,6,One,Hearing,Urban,Regular
North Eastern,Machakos,Male,7,Three,Visual,Urban,Integrated
Eastern,Taita Taveta,Female,7,Three,Physical,Urban,Regular
Rift Valley,Bomet,Male,8,One,Physical,Urban,Regular
Central,Mandera,Female,6,One,Physical,Urban,Integrated
Coast,Kirinyaga,Female,9,One,Autism,Urban,Integrated
Coast,Narok,Male,8,Three,Visual,Urban,Regular
North Eastern,Kwale,Male,6,Two,Visual,Rural,Integrated
Nairobi,Marsabit,Male,10,Two,Hearing,Rural,Regular
Western,Marsabit,Female,6,Two,Hearing,Urban,Regular
Nairobi,Kirinyaga,Female,6,One,Hearing,Urban,Integrated
Coast,Mombasa,Male,7,Three,Visual,Urban,Regular
Rift Valley,Elgeyo Marakwet,Female,5,Pre-School,Autism,Rural,Integrated
Central,Mombasa,Female,10,Three,Physical,Urban,Integrated
Nyanza,Meru,Female,6,Three,Physical,Urban,Special
Nairobi,Trans Nzoia,Female,9,Three,Visual,Urban,Integrated
Nyanza,Mombasa,Male,10,One,Physical,Urban,Integrated
Rift Valley,Baringo,Female,9,One,Hearing,Rural,Integrated
Nairobi,Isiolo,Female,10,Three,Visual,Urban,Integrated
Rift Valley,Turkana,Female,6,Three,Visual,Rural,Integrated
Coast,Baringo,Female,10,Two,Hearing,Urban,Integrated
Nairobi,Tharaka Nithi,Male,7,One,Visual,Rural,Integrated
Nyanza,Marsabit,Male,5,Pre-School,Physical,Urban,Regular
Eastern,Laikipia,Female,6,Three,Physical,Urban,Special
Nairobi,Wajir,Male,7,One,Physical,Urban,Regular
North Eastern,Kisumu,Female,5,Pre-School,Physical,Urban,Integrated
Central,Makueni,Female,8,Three,Physical,Urban,Special
Western,Bomet,Male,7,Two,Autism,Rural,Integrated
Coast,Mandera,Male,6,Two,Visual,Urban,Integrated
Western,Kakamega,Male,9,Two,Visual,Urban,Integrated
Nairobi,Lamu,Male,9,Three,Physical,Urban,Regular
Western,Garissa,Male,8,Three,Physical,Urban,Integrated
Central,Trans Nzoia,Male,6,Two,Visual,Urban,Regular
Coast,Elgeyo Marakwet,Female,5,Pre-School,Physical,Urban,Integrated
Coast,Kakamega,Male,6,One,Visual,Urban,Integrated
Rift Valley,Samburu,Female,10,Three,Visual,Urban,Regular
Central,Narok,Male,5,Pre-School,Physical,Rural,Special
Rift Valley,Narok,Female,10,One,Physical,Urban,Integrated
Eastern,Kisii,Female,5,Pre-School,Visual,Urban,Regular
Eastern,Bomet,Male,5,Pre-School,Visual,Urban,Regular
Nairobi,Uasin Gishu,Male,7,Two,Hearing,Urban,Regular
Rift Valley,Garissa,Male,8,Three,Hearing,Urban,Special
North Eastern,Embu,Male,8,Two,Physical,Urban,Integrated
Nairobi,Nyandarua,Female,7,One,Hearing,Urban,Integrated
Central,Turkana,Male,8,Two,Hearing,Urban,Regular
Coast,Nyamira,Female,5,Pre-School,Visual,Urban,Regular
Nyanza,Homa Bay,Male,6,Three,Hearing,Urban,Regular
Nyanza,Kitui,Female,8,Two,Physical,Urban,Regular
Central,Nairobi,Male,5,Pre-School,Physical,Urban,Integrated
Rift Valley,Kiambu,Female,6,Three,Visual,Urban,Integrated
Rift Valley,Embu,Female,10,Two,Hearing,Urban,Integrated
Nyanza,Nakuru,Male,9,Two,Visual,Urban,Integrated
Nairobi,Bomet,Female,6,One,Visual,Urban,Integrated
Western,Nyandarua,Female,7,Two,Physical,Urban,Special
Western,Isiolo,Male,6,One,Autism,Rural,Regular
Nyanza,Trans Nzoia,Male,5,Pre-School,Visual,Urban,Regular
Nairobi,Elgeyo Marakwet,Female,8,Two,Hearing,Urban,Integrated
North Eastern,Bomet,Female,6,Three,Physical,Rural,Integrated
Coast,Turkana,Female,5,Pre-School,Physical,Urban,Regular
Nyanza,Nyamira,Female,8,Three,Hearing,Urban,Integrated
North Eastern,Baringo,Female,6,Two,Hearing,Rural,Integrated
Nyanza,Isiolo,Female,8,One,Autism,Rural,Special
Coast,Nyamira,Female,5,Pre-School,Visual,Urban,Integrated
Rift Valley,Kwale,Male,9,One,Hearing,Urban,Integrated
Eastern,Turkana,Male,10,Two,Hearing,Rural,Regular
Coast,Bomet,Male,10,Three,Visual,Urban,Regular
Coast,Tana River,Female,10,Two,Hearing,Urban,Integrated
Nyanza,Nakuru,Female,7,Three,Visual,Urban,Special
Nyanza,Tana River,Female,8,Two,Hearing,Urban,Integrated
Nyanza,Mandera,Female,6,Three,Autism,Rural,Integrated
Western,Kirinyaga,Male,6,Two,Autism,Urban,Special
Western,Kwale,Female,10,Two,Visual,Urban,Integrated
Western,Nyeri,Female,9,Two,Hearing,Rural,Regular
Nairobi,Samburu,Male,5,Pre-School,Visual,Urban,Integrated
Nairobi,Kericho,Male,5,Pre-School,Physical,Rural,Special
Central,Mombasa,Male,6,Three,Physical,Rural,Regular
Nairobi,Kwale,Male,10,One,Hearing,Urban,Regular
Central,Bomet,Female,6,One,Visual,Urban,Regular
North Eastern,Baringo,Male,8,One,Hearing,Urban,Special
Western,Kirinyaga,Male,5,Pre-School,Autism,Urban,Regular
Western,Kajiado,Male,9,Two,Visual,Urban,Regular
Western,Makueni,Female,10,One,Physical,Urban,Regular
North Eastern,Embu,Female,6,One,Visual,Rural,Integrated
Nairobi,Machakos,Female,5,Pre-School,Visual,Urban,Integrated
Eastern,West Pokot,Male,6,Two,Physical,Urban,Regular
Central,Nyamira,Male,8,Three,Autism,Urban,Integrated
Western,Kilifi,Male,9,Two,Physical,Urban,Regular
Nyanza,Nairobi,Female,9,One,Hearing,Urban,Integrated
Central,Murang'a,Female,5,Pre-School,Hearing,Urban,Regular
Coast,Trans Nzoia,Male,7,Three,Visual,Rural,Integrated
North Eastern,Baringo,Male,7,One,Physical,Rural,Regular
Central,Narok,Male,7,One,Physical,Urban,Integrated
Nyanza,Mombasa,Female,9,Three,Physical,Urban,Regular
Western,Kirinyaga,Male,10,Two,Physical,Urban,Integrated
Eastern,Kericho,Male,9,Two,Hearing,Urban,Special
Coast,Uasin Gishu,Female,10,One,Physical,Urban,Regular
Western,Nandi,Female,6,One,Hearing,Urban,Regular
Western,Taita Taveta,Female,5,Pre-School,Physical,Urban,Integrated
Eastern,West Pokot,Female,7,Three,Visual,Rural,Integrated
Eastern,Kwale,Female,5,Pre-School,Autism,Urban,Regular
Eastern,Homa Bay,Female,6,Two,Hearing,Rural,Integrated
Nyanza,Kajiado,Male,5,Pre-School,Visual,Urban,Integrated
Central,Mombasa,Female,7,Three,Physical,Rural,Integrated
Nyanza,Kitui,Male,9,Two,Visual,Urban,Integrated
Central,Siaya,Female,8,Two,Visual,Rural,Regular
Nyanza,Kiambu,Male,10,One,Physical,Rural,Integrated
North Eastern,Garissa,Female,6,Three,Visual,Urban,Regular
Nyanza,Samburu,Male,8,One,Autism,Urban,Special
Nyanza,Samburu,Male,8,Two,Visual,Urban,Special
Nyanza,Kiambu,Male,9,One,Visual,Urban,Regular
Rift Valley,Nyeri,Female,7,One,Physical,Urban,Regular
Rift Valley,Machakos,Female,8,Two,Physical,Rural,Integrated
North Eastern,Nyandarua,Male,10,Two,Hearing,Rural,Regular
Western,Uasin Gishu,Male,5,Pre-School,Hearing,Urban,Regular
Eastern,Kisii,Male,7,One,Visual,Urban,Regular
Nyanza,Turkana,Male,6,Three,Hearing,Urban,Integrated
North Eastern,Machakos,Female,7,Three,Visual,Urban,Integrated
Western,Marsabit,Female,6,One,Hearing,Urban,Special
Nairobi,Nyandarua,Female,7,One,Hearing,Rural,Regular
Western,Embu,Male,5,Pre-School,Physical,Urban,Integrated
Central,West Pokot,Male,8,One,Hearing,Urban,Integrated
Coast,Kericho,Female,6,Two,Visual,Urban,Regular
Western,Homa Bay,Male,7,Two,Visual,Urban,Regular
North Eastern,Meru,Female,7,Two,Visual,Urban,Integrated
Rift Valley,Embu,Male,10,Three,Hearing,Urban,Integrated
North Eastern,Taita Taveta,Female,6,Three,Hearing,Rural,Integrated
Eastern,Kajiado,Male,6,Three,Visual,Rural,Integrated
Nairobi,Machakos,Male,8,Three,Hearing,Urban,Integrated
Nyanza,Nyandarua,Male,5,Pre-School,Autism,Urban,Regular
Eastern,Tana River,Female,6,One,Hearing,Rural,Integrated
Eastern,Kajiado,Female,5,Pre-School,Hearing,Rural,Regular
Western,Isiolo,Male,9,Three,Hearing,Urban,Regular
Nyanza,Homa Bay,Male,10,Three,Physical,Urban,Special
Coast,Meru,Female,9,One,Autism,Urban,Regular
Nairobi,Tharaka Nithi,Female,5,Pre-School,Hearing,Urban,Regular
Central,Turkana,Male,5,Pre-School,Physical,Rural,Special
Nyanza,Murang'a,Female,6,One,Physical,Urban,Regular
Rift Valley,Makueni,Male,10,Three,Visual,Urban,Regular
Rift Valley,Laikipia,Female,10,One,Hearing,Urban,Regular
Nyanza,Embu,Male,8,Three,Visual,Rural,Integrated
Coast,Siaya,Female,6,One,Visual,Urban,Special
Nairobi,Makueni,Female,6,One,Physical,Rural,Integrated
Western,Kirinyaga,Male,10,Three,Physical,Urban,Regular
North Eastern,Kericho,Female,9,Two,Physical,Urban,Integrated
Central,Tharaka Nithi,Female,8,Two,Visual,Urban,Integrated
Nyanza,Nandi,Female,8,One,Physical,Rural,Regular
North Eastern,Kilifi,Female,6,Three,Physical,Urban,Special
Coast,Embu,Female,5,Pre-School,Hearing,Urban,Integrated
North Eastern,Garissa,Female,9,Two,Visual,Urban,Regular
Eastern,Vihiga,Male,8,Two,Hearing,Urban,Regular
Eastern,Mombasa,Male,6,Two,Physical,Urban,Integrated
Nyanza,Kisumu,Male,7,Two,Hearing,Rural,Integrated
Rift Valley,Homa Bay,Female,6,Three,Hearing,Urban,Regular
Coast,Nyamira,Male,7,Two,Autism,Urban,Integrated
Eastern,Kirinyaga,Male,6,Two,Hearing,Urban,Regular
Rift Valley,Turkana,Female,6,Two,Hearing,Rural,Integrated
Nyanza,Isiolo,Female,5,Pre-School,Visual,Urban,Integrated
Eastern,Nairobi,Female,10,Two,Visual,Urban,Regular
Western,Kiambu,Male,9,Two,Physical,Urban,Integrated
Nairobi,Migori,Female,8,One,Physical,Urban,Regular
Central,Embu,Male,9,One,Physical,Rural,Regular
Western,Kiambu,Male,7,One,Visual,Urban,Integrated
Rift Valley,Tharaka Nithi,Female,7,One,Physical,Rural,Integrated
Western,Murang'a,Male,10,One,Visual,Rural,Regular
Western,Kericho,Female,7,One,Physical,Rural,Integrated
Central,Marsabit,Female,7,One,Visual,Urban,Integrated
Central,Samburu,Male,5,Pre-School,Physical,Urban,Integrated
Eastern,Nyandarua,Male,8,One,Hearing,Urban,Integrated
Rift Valley,Nyamira,Male,6,Two,Visual,Rural,Integrated
Central,Nairobi,Female,10,One,Visual,Urban,Regular
Coast,Narok,Female,5,Pre-School,Visual,Urban,Regular
Coast,Nyandarua,Female,9,Three,Physical,Urban,Special
Central,Busia,Female,6,Three,Physical,Urban,Integrated
Western,Kitui,Male,10,One,Physical,Urban,Regular
Rift Valley,Nakuru,Male,6,Two,Hearing,Rural,Integrated
Western,Kisii,Female,7,One,Hearing,Urban,Integrated
Rift Valley,Samburu,Male,8,One,Hearing,Urban,Regular
Nairobi,Kakamega,Female,6,Two,Visual,Rural,Regular
Western,Murang'a,Male,9,Three,Visual,Urban,Regular
Rift Valley,Kisii,Female,5,Pre-School,Hearing,Urban,Regular
Rift Valley,Nandi,Male,7,Three,Visual,Urban,Regular
Eastern,Bomet,Male,10,Three,Physical,Urban,Integrated
North Eastern,Machakos,Male,5,Pre-School,Hearing,Rural,Integrated
Nairobi,Wajir,Male,6,Three,Physical,Rural,Regular
Nairobi,Garissa,Female,5,Pre-School,Physical,Urban,Regular
Eastern,Machakos,Male,6,Two,Physical,Urban,Integrated
Central,Bomet,Female,8,Two,Physical,Urban,Regular
Eastern,Embu,Male,8,Three,Physical,Urban,Integrated
Rift Valley,Wajir,Female,9,Two,Hearing,Rural,Regular
Nairobi,Marsabit,Female,10,One,Autism,Rural,Regular
Coast,Vihiga,Female,5,Pre-School,Visual,Urban,Regular
Central,Elgeyo Marakwet,Male,8,Three,Visual,Urban,Special
Western,Kajiado,Female,6,Two,Physical,Urban,Regular
Nyanza,Isiolo,Male,10,Two,Hearing,Urban,Integrated
Rift Valley,Kitui,Male,7,One,Visual,Rural,Integrated
Central,Makueni,Male,5,Pre-School,Physical,Urban,Regular
Eastern,Marsabit,Male,7,One,Visual,Urban,Regular
Central,Migori,Female,8,Three,Hearing,Rural,Integrated
Eastern,Nairobi,Female,10,Three,Visual,Urban,Regular
Nyanza,Kakamega,Female,6,Two,Visual,Rural,Regular
Nairobi,Kisii,Female,10,Three,Physical,Urban,Integrated
Nairobi,Nyandarua,Female,9,Two,Hearing,Rural,Special
Western,Kiambu,Male,8,Three,Hearing,Urban,Regular
Nyanza,Embu,Female,10,Three,Hearing,Rural,Integrated
Nyanza,Nandi,Male,10,One,Physical,Urban,Integrated
Western,Kisii,Male,6,Three,Hearing,Rural,Integrated
Central,Kisumu,Male,10,Two,Visual,Urban,Regular
Rift Valley,Elgeyo Marakwet,Female,7,One,Physical,Urban,Regular
Rift Valley,Kakamega,Male,9,One,Hearing,Urban,Integrated
Central,Machakos,Male,8,One,Visual,Urban,Regular
North Eastern,Tana River,Female,9,One,Physical,Urban,Integrated
Central,Vihiga,Male,6,Two,Hearing,Urban,Integrated
Coast,Kisii,Female,6,Three,Autism,Urban,Integrated
Nyanza,Wajir,Male,10,Three,Hearing,Rural,Special
Eastern,Bomet,Female,7,Two,Visual,Urban,Regular
Nairobi,Nyeri,Female,10,Three,Physical,Urban,Integrated
North Eastern,Kisumu,Female,8,Two,Visual,Rural,Regular
North Eastern,Uasin Gishu,Female,7,Two,Visual,Urban,Integrated
Central,Makueni,Male,8,One,Physical,Urban,Regular
Nairobi,Kakamega,Male,10,Three,Physical,Rural,Regular
Rift Valley,Lamu,Female,5,Pre-School,Hearing,Urban,Integrated
Coast,Wajir,Male,5,Pre-School,Hearing,Urban,Integrated
Central,Makueni,Female,5,Pre-School,Visual,Urban,Regular
Nairobi,Kisii,Male,7,Two,Visual,Urban,Regular
Nyanza,Homa Bay,Female,9,Three,Visual,Urban,Regular
Central,Kitui,Female,6,Two,Physical,Urban,Integrated
Western,Kajiado,Male,5,Pre-School,Hearing,Urban,Regular
Eastern,Kakamega,Male,8,Two,Physical,Urban,Regular
Nyanza,Kilifi,Male,10,Two,Visual,Urban,Regular
Nairobi,Mombasa,Male,6,Three,Physical,Urban,Integrated
Central,Tana River,Male,5,Pre-School,Hearing,Urban,Integrated
Nyanza,Elgeyo Marakwet,Male,7,Three,Hearing,Urban,Integrated
North Eastern,Trans Nzoia,Female,7,Three,Physical,Urban,Regular
North Eastern,Nairobi,Female,9,Two,Hearing,Rural,Regular
Central,Kisii,Male,8,Three,Visual,Rural,Regular
Central,Kwale,Female,10,Three,Visual,Urban,Integrated
Rift Valley,Kitui,Female,5,Pre-School,Hearing,Urban,Integrated
Eastern,Vihiga,Female,7,Two,Physical,Rural,Regular
Central,Migori,Male,10,One,Hearing,Urban,Integrated
North Eastern,Garissa,Female,8,One,Visual,Urban,Regular
Nyanza,Kiambu,Female,6,Three,Autism,Urban,Regular
Western,Samburu,Male,7,One,Hearing,Urban,Integrated
Coast,Kisumu,Male,9,Two,Hearing,Urban,Regular
North Eastern,Nakuru,Female,8,One,Visual,Urban,Regular
Nairobi,Murang'a,Female,7,Three,Visual,Urban,Integrated
Nyanza,Murang'a,Female,8,Two,Physical,Rural,Integrated
Nyanza,Wajir,Male,10,Two,Hearing,Urban,Regular
Eastern,West Pokot,Female,5,Pre-School,Autism,Urban,Regular
Nairobi,Taita Taveta,Male,9,Three,Hearing,Urban,Integrated
Nairobi,Bomet,Male,7,Two,Visual,Rural,Regular
Eastern,Nyeri,Male,6,Three,Visual,Rural,Integrated
Nairobi,Kajiado,Male,10,Two,Hearing,Urban,Regular
Rift Valley,Meru,Male,8,Three,Physical,Rural,Special
North Eastern,Tharaka Nithi,Male,10,Three,Hearing,Rural,Regular
Nyanza,Uasin Gishu,Male,7,Three,Hearing,Urban,Regular
Rift Valley,Homa Bay,Male,5,Pre-School,Physical,Urban,Integrated
Eastern,Busia,Male,6,Two,Visual,Urban,Regular
Nyanza,Migori,Female,8,Two,Hearing,Urban,Integrated
Nairobi,Murang'a,Female,9,Two,Physical,Urban,Integrated
Western,Samburu,Female,6,One,Visual,Rural,Regular
North Eastern,Migori,Male,5,Pre-School,Physical,Urban,Regular
Eastern,Nakuru,Male,6,Two,Autism,Urban,Regular
Central,Bungoma,Male,9,Two,Physical,Urban,Integrated
Nairobi,Vihiga,Female,7,One,Hearing,Urban,Regular
Western,Nyandarua,Male,7,Two,Hearing,Urban,Integrated
Eastern,Busia,Female,9,One,Visual,Rural,Integrated
Nairobi,Busia,Female,5,Pre-School,Hearing,Urban,Integrated
Rift Valley,Tana River,Female,8,One,Hearing,Rural,Integrated
Western,Bomet,Male,8,Two,Physical,Urban,Regular
Rift Valley,Mandera,Female,9,Two,Physical,Urban,Special
Eastern,Kirinyaga,Female,7,Three,Physical,Urban,Regular
Nyanza,Narok,Female,6,Two,Visual,Urban,Regular
Rift Valley,Wajir,Male,8,Two,Visual,Urban,Integrated
Eastern,Migori,Female,5,Pre-School,Hearing,Urban,Integrated
Nyanza,Kirinyaga,Male,8,One,Hearing,Rural,Regular
Rift Valley,Trans Nzoia,Female,7,Three,Physical,Urban,Regular
Western,Wajir,Female,10,One,Hearing,Urban,Regular
Central,Mombasa,Female,8,Two,Autism,Urban,Regular
Nairobi,Kiambu,Female,10,Two,Hearing,Urban,Integrated
Eastern,Kajiado,Male,8,One,Hearing,Rural,Special
Coast,Nyeri,Male,9,Three,Autism,Urban,Integrated
Nairobi,Bomet,Male,9,One,Autism,Urban,Regular
Rift Valley,Kilifi,Male,10,One,Physical,Rural,Regular
Rift Valley,Wajir,Female,5,Pre-School,Physical,Urban,Regular
Eastern,Makueni,Female,8,One,Hearing,Urban,Integrated
Rift Valley,Kakamega,Male,8,Two,Hearing,Urban,Regular
Nairobi,Tharaka Nithi,Female,6,Two,Physical,Urban,Integrated
Coast,Kitui,Male,5,Pre-School,Physical,Urban,Integrated
North Eastern,Kilifi,Male,7,Three,Hearing,Rural,Integrated
North Eastern,Trans Nzoia,Female,6,Three,Visual,Urban,Regular
Central,Homa Bay,Female,9,One,Hearing,Rural,Regular
Eastern,Nakuru,Female,5,Pre-School,Visual,Urban,Regular
Nairobi,Tharaka Nithi,Female,8,Three,Hearing,Urban,Integrated
North Eastern,Machakos,Male,5,Pre-School,Visual,Rural,Special
Western,Elgeyo Marakwet,Female,8,Three,Visual,Urban,Integrated
Central,Elgeyo Marakwet,Male,9,Two,Visual,Urban,Regular
Nairobi,Kiambu,Female,9,Three,Hearing,Urban,Integrated
Eastern,Kilifi,Male,7,One,Physical,Urban,Integrated
Nairobi,Nakuru,Male,8,Two,Physical,Urban,Integrated
Central,Taita Taveta,Female,9,Two,Hearing,Urban,Integrated
Nairobi,Nairobi,Male,8,Three,Physical,Urban,Regular
Central,Kisumu,Male,6,Two,Visual,Urban,Integrated
North Eastern,Laikipia,Male,8,Three,Autism,Urban,Integrated
Eastern,Kitui,Male,10,One,Physical,Urban,Special
Nairobi,Taita Taveta,Male,9,One,Visual,Urban,Regular
Nyanza,Kiambu,Female,5,Pre-School,Visual,Urban,Regular
Nyanza,Nakuru,Male,10,Three,Visual,Rural,Integrated
Western,Nyamira,Male,10,Two,Visual,Urban,Special
Rift Valley,Elgeyo Marakwet,Male,8,Three,Physical,Rural,Regular
Coast,Kwale,Male,10,Two,Visual,Rural,Regular
Rift Valley,Kericho,Female,9,One,Hearing,Rural,Regular
Nairobi,Kirinyaga,Male,9,Three,Physical,Urban,Regular
Western,Laikipia,Female,10,One,Physical,Rural,Regular
Nairobi,Nakuru,Male,9,Three,Physical,Urban,Integrated
Eastern,Isiolo,Male,9,Three,Hearing,Urban,Integrated
North Eastern,Wajir,Male,9,One,Visual,Urban,Integrated
North Eastern,Kitui,Female,10,Two,Hearing,Urban,Regular
Rift Valley,Bomet,Female,5,Pre-School,Visual,Urban,Regular
Eastern,Kajiado,Male,6,One,Visual,Urban,Integrated
North Eastern,Samburu,Male,7,Three,Hearing,Urban,Integrated
Western,Vihiga,Female,10,Three,Physical,Urban,Integrated
Western,Kisumu,Male,6,Three,Physical,Urban,Special
Western,Baringo,Male,9,One,Physical,Urban,Special
Nairobi,Embu,Male,9,Three,Physical,Urban,Regular
Coast,Vihiga,Male,10,Three,Physical,Urban,Special
North Eastern,Vihiga,Female,9,Two,Physical,Urban,Regular
Central,Mandera,Female,10,Three,Autism,Urban,Special
Nairobi,Nyeri,Male,6,Three,Visual,Urban,Regular
Nyanza,Isiolo,Male,6,Three,Hearing,Rural,Regular
Rift Valley,West Pokot,Male,7,Three,Autism,Urban,Regular
North Eastern,Kitui,Female,7,Three,Physical,Urban,Special
Central,West Pokot,Male,6,One,Hearing,Urban,Regular
Coast,Nairobi,Male,6,Two,Physical,Rural,Regular
Coast,Kakamega,Female,7,One,Hearing,Urban,Regular
Rift Valley,Elgeyo Marakwet,Male,9,One,Visual,Urban,Regular
Central,Kilifi,Male,5,Pre-School,Physical,Urban,Regular
Nyanza,Nyandarua,Female,10,Two,Autism,Urban,Regular
Central,Kakamega,Male,6,One,Physical,Urban,Integrated
Coast,Kilifi,Female,5,Pre-School,Visual,Urban,Regular
Rift Valley,Kericho,Female,10,Three,Visual,Rural,Regular
Coast,Tana River,Male,5,Pre-School,Visual,Urban,Regular
North Eastern,Murang'a,Female,8,Two,Visual,Urban,Integrated
Coast,Marsabit,Female,7,One,Visual,Rural,Integrated
Eastern,Homa Bay,Female,10,Two,Physical,Urban,Regular
Eastern,Elgeyo Marakwet,Female,7,Two,Hearing,Urban,Regular
Nairobi,Nakuru,Female,9,Three,Hearing,Urban,Integrated
Nairobi,Kisumu,Female,9,One,Physical,Rural,Integrated
Nairobi,Machakos,Male,10,One,Hearing,Urban,Regular
Rift Valley,Murang'a,Female,7,Three,Hearing,Rural,Integrated
North Eastern,Marsabit,Male,8,Two,Visual,Urban,Special
Nyanza,Nandi,Female,9,One,Physical,Urban,Integrated
Eastern,Garissa,Male,8,Two,Hearing,Urban,Regular
Western,Nyamira,Male,6,Two,Visual,Urban,Regular
Eastern,West Pokot,Male,8,Two,Visual,Urban,Integrated
Eastern,Wajir,Male,10,Three,Hearing,Rural,Integrated
North Eastern,Embu,Male,6,One,Hearing,Urban,Integrated
Nairobi,Uasin Gishu,Male,9,Three,Visual,Urban,Integrated
Western,Kisumu,Male,9,Three,Physical,Urban,Special
Coast,Trans Nzoia,Male,8,One,Visual,Urban,Regular
Central,Nyamira,Female,7,Three,Physical,Rural,Integrated
Nairobi,Bomet,Female,7,Three,Hearing,Rural,Integrated
Western,Mandera,Male,6,One,Hearing,Rural,Regular
Western,Kilifi,Male,8,One,Hearing,Urban,Integrated
Western,Vihiga,Female,10,Two,Visual,Rural,Regular
Rift Valley,Lamu,Female,7,Two,Visual,Urban,Regular
North Eastern,Nandi,Female,6,Three,Autism,Urban,Integrated
Rift Valley,Tharaka Nithi,Female,6,Three,Visual,Urban,Regular
North Eastern,Nakuru,Female,7,Two,Hearing,Urban,Special
Central,Migori,Male,10,One,Visual,Urban,Integrated
Western,Kericho,Male,6,Two,Physical,Urban,Special
Central,Kwale,Male,7,Two,Visual,Rural,Integrated
Nairobi,Kajiado,Female,10,Three,Physical,Urban,Regular
Rift Valley,Embu,Female,8,One,Hearing,Rural,Regular
North Eastern,Wajir,Male,5,Pre-School,Physical,Urban,Integrated
Coast,West Pokot,Male,5,Pre-School,Hearing,Urban,Regular
Central,Homa Bay,Male,6,Three,Physical,Urban,Integrated
Nairobi,Kajiado,Female,9,Three,Hearing,Urban,Integrated
Western,Trans Nzoia,Male,5,Pre-School,Hearing,Urban,Regular
Western,Kitui,Male,9,Two,Physical,Urban,Integrated
Central,Nyandarua,Male,10,Two,Hearing,Urban,Regular
Nairobi,Lamu,Male,10,Three,Visual,Urban,Regular
Central,Machakos,Female,9,One,Autism,Rural,Special
Western,Mombasa,Female,7,Two,Hearing,Rural,Integrated
Nyanza,Kilifi,Male,5,Pre-School,Hearing,Urban,Integrated
North Eastern,Kirinyaga,Male,5,Pre-School,Visual,Urban,Regular
North Eastern,Vihiga,Male,9,Three,Hearing,Urban,Integrated
Eastern,Bomet,Male,7,Three,Visual,Urban,Special
Central,Mandera,Female,7,Two,Hearing,Urban,Special
Rift Valley,Trans Nzoia,Male,6,Three,Hearing,Urban,Regular
Coast,Kajiado,Female,5,Pre-School,Visual,Urban,Integrated
Eastern,Nairobi,Male,7,Two,Hearing,Urban,Regular
Western,Bomet,Female,6,Three,Hearing,Urban,Integrated
North Eastern,Busia,Female,8,Three,Hearing,Urban,Integrated
